Sample.ID,Date.Collected,Region,Population,MaterNAl_Family,Individual,GCLab,GCLad,SDab,SDad,SAIab,SAIad,BLOCK.POS,Family.Unique,Family.NonUnique,Block.ID
MAN-MIS.30.7,7/28/2016,GL Alvar,MAN-MIS,30,7,NA,26.666667,NA,195.3125,NA,5.208333398,7-F2,MAN-MIS_30,30,7
MB-CRN.29.9,7/6/2016,M Alvar,MB-CRN,29,9,NA,26.666667,NA,156.25,NA,4.166666719,9-G14,MB-CRN_29,29,9
MI-DRI.24.6,7/29/2016,GL Alvar,MI-DRI,24,6,NA,26.666667,195.3125,130.2083333,NA,3.472222265,6-M8,MI-DRI_24,24,6
NAP-CE.33.2,6/27/2016,GL Alvar,NAP-CE,33,2,NA,26.666667,NA,169.2708333,NA,4.513888944,2-I5,NAP-CE_33,33,2
WNY-CB.23.2,7/30/2016,GL Alvar,WNY-CB,23,2,24.333333,27,221.3541667,117.1875,4.039713487,3.1640625,2-H13,WNY-CB_23,23,2
MB-CRN.29.12,7/7/2016,M Alvar,MB-CRN,29,12,24.666667,27,325.5208333,208.3333333,6.022135497,5.624999999,12-D2,MB-CRN_29,29,12
NAP-CE.7.8,6/24/2016,GL Alvar,NAP-CE,7,8,24.666667,27,286.4583333,234.375,5.299479238,6.328125,8-I16,NAP-CE_7,7,8
CAR-NBA.10.3,7/19/2016,GL Alvar,CAR-NBA,10,3,25,27,325.5208333,182.2916667,6.103515624,4.921875001,3-F14,CAR-NBA_10,10,3
MB-MR.25.4,7/29/2016,M Alvar,MB-MR,25,4,25.333333,27,286.4583333,104.1666667,5.442708261,2.812500001,4-E12,MB-MR_25,25,4
MI-DRI.5.5,6/28/2016,GL Alvar,MI-DRI,5,5,25.333333,27,312.5,117.1875,5.937499922,3.1640625,5-N4,MI-DRI_5,5,5
MB-CRN.17.7,7/28/2016,M Alvar,MB-CRN,17,7,25.666667,27,208.3333333,221.3541667,4.010416718,5.976562501,7-K15,MB-CRN_17,17,7
SD-MUD.23.1,7/10/2016,Prairie,SD-MUD,23,1,25.666667,27,273.4375,130.2083333,5.263671943,3.515624999,1-G10,SD-MUD_23,23,1
WNY-CB.10.6,7/5/2016,GL Alvar,WNY-CB,10,6,25.666667,27,299.4791667,169.2708333,5.764974034,4.570312499,6-D15,WNY-CB_10,10,6
MAN-FOX.17.5,7/27/2016,GL Alvar,MAN-FOX,17,5,26.666667,27,195.3125,156.25,3.906250049,4.21875,5-F10,MAN-FOX_17,17,5
MAN-LCI.3.9,7/28/2016,GL Alvar,MAN-LCI,3,9,26.666667,27,247.3958333,143.2291667,4.947916728,3.867187501,9-B8,MAN-LCI_3,3,9
NAP-SCH.20.6,7/29/2016,GL Alvar,NAP-SCH,20,6,26.666667,27,234.375,130.2083333,4.687500059,3.515624999,6-D5,NAP-SCH_20,20,6
AB-LL.26.5,7/27/2016,Prairie,AB-LL,26,5,27,27,182.2916667,169.2708333,3.691406251,4.570312499,5-F4,AB-LL_26,26,5
MAN-KIP.16.3,7/27/2016,GL Alvar,MAN-KIP,16,3,27,27,208.3333333,117.1875,4.218749999,3.1640625,3-K14,MAN-KIP_16,16,3
MAN-KIP.37.3,7/27/2016,GL Alvar,MAN-KIP,37,3,27,27,286.4583333,130.2083333,5.800781249,3.515624999,3-J6,MAN-KIP_37,37,3
NAP-CE.7.4,6/24/2016,GL Alvar,NAP-CE,7,4,27,27,247.3958333,182.2916667,5.009765624,4.921875001,4-B12,NAP-CE_7,7,4
MI-DRI.13.2,7/25/2016,GL Alvar,MI-DRI,13,2,27.333333,27,273.4375,156.25,5.605468682,4.21875,2-N4,MI-DRI_13,13,2
AB-LL.13.8,7/18/2016,Prairie,AB-LL,13,8,28,27,182.2916667,104.1666667,3.828125001,2.812500001,8-K11,AB-LL_13,13,8
CAR-PSR.6.6,7/1/2016,GL Alvar,CAR-PSR,6,6,28,27,286.4583333,234.375,6.015624999,6.328125,6-B11,CAR-PSR_6,6,6
MAN-MIS.20.5,7/28/2016,GL Alvar,MAN-MIS,20,5,28,27,195.3125,117.1875,4.1015625,3.1640625,5-E15,MAN-MIS_20,20,5
MB-CRN.2.10,7/6/2016,M Alvar,MB-CRN,2,10,28,27,182.2916667,234.375,3.828125001,6.328125,10-I12,MB-CRN_2,2,10
MAN-FOX.2.4,7/27/2016,GL Alvar,MAN-FOX,2,4,28.333333,27,195.3125,169.2708333,4.150390576,4.570312499,4-D7,MAN-FOX_2,2,4
MI-DRI.5.10,6/28/2016,GL Alvar,MI-DRI,5,10,28.666667,27,130.2083333,117.1875,2.799479199,3.1640625,10-J2,MI-DRI_5,5,10
AB-LL.10.6,7/16/2016,Prairie,AB-LL,10,6,29,27,182.2916667,117.1875,3.964843751,3.1640625,6-F16,AB-LL_10,10,6
MB-CRN.10.5,7/28/2016,M Alvar,MB-CRN,10,5,29,27,208.3333333,169.2708333,4.531249999,4.570312499,5-J12,MB-CRN_10,10,5
